#mara1_antes,,,,masa1_después,,,,masa2_después_(centro),,,,mara3_después,,,
#t,x,v_{x},a_{x},t,x,v_{x},a_{x},t,v_{x},x,a_{x},t,x,v_{x},a_{x}
0.00E+00,8.64E-06,,,9.67E-01,1.32E-01,,,9.33E-01,,1.47E-01,,9.00E-01,1.62E-01,,
3.33E-02,1.52E-02,4.17E-01,,1.00E+00,1.33E-01,2.71E-02,,9.67E-01,2.60E-02,1.48E-01,,9.33E-01,1.67E-01,2.34E-01,
6.67E-02,2.78E-02,3.53E-01,-7.36E-01,1.03E+00,1.34E-01,3.41E-02,7.50E-03,1.00E+00,3.34E-02,1.49E-01,5.30E-02,9.67E-01,1.78E-01,2.64E-01,3.45E-01
1.00E-01,3.87E-02,3.61E-01,1.64E-17,1.07E+00,1.35E-01,3.06E-02,-5.25E-02,1.03E+00,2.60E-02,1.50E-01,-9.54E-02,1.00E+00,1.85E-01,2.28E-01,-2.46E-01
1.33E-01,5.19E-02,3.70E-01,3.02E-01,1.10E+00,1.36E-01,2.62E-02,5.07E-02,1.07E+00,2.72E-02,1.51E-01,-6.36E-02,1.03E+00,1.93E-01,2.57E-01,7.87E-02
1.67E-01,6.34E-02,3.66E-01,-1.13E-01,1.13E+00,1.37E-01,3.62E-02,2.87E-02,1.10E+00,2.35E-02,1.52E-01,-3.18E-02,1.07E+00,2.02E-01,2.40E-01,1.01E-01
2.00E-01,7.63E-02,3.75E-01,-1.13E-01,1.17E+00,1.38E-01,3.03E-02,-1.09E-01,1.13E+00,2.23E-02,1.52E-01,-2.12E-02,1.10E+00,2.09E-01,2.47E-01,-1.68E-01
2.33E-01,8.84E-02,3.53E-01,-4.53E-01,1.20E+00,1.39E-01,2.45E-02,-2.07E-01,1.17E+00,2.47E-02,1.53E-01,2.12E-02,1.13E+00,2.19E-01,2.49E-01,-1.18E-01
2.67E-01,9.98E-02,3.44E-01,2.27E-01,1.23E+00,1.40E-01,2.06E-02,8.41E-03,1.20E+00,2.23E-02,1.54E-01,8.48E-02,1.17E+00,2.26E-01,2.22E-01,-6.90E-01
3.00E-01,1.11E-01,3.66E-01,,1.27E+00,1.40E-01,2.06E-02,2.52E-02,1.23E+00,2.97E-02,1.55E-01,,1.20E+00,2.33E-01,2.14E-01,5.22E-01
3.33E-01,1.24E-01,,,1.30E+00,1.41E-01,2.65E-02,,1.27E+00,,1.56E-01,,1.23E+00,2.40E-01,2.43E-01,3.37E-02
,,,,1.33E+00,1.42E-01,,,,,,,1.27E+00,2.50E-01,2.40E-01,-1.68E-01
,,,,,,,,,,,,1.30E+00,2.56E-01,2.08E-01,-6.73E-02
,,,,,,,,,,,,1.33E+00,2.63E-01,2.45E-01,-8.41E-02
,,,,,,,,,,,,1.37E+00,2.72E-01,2.12E-01,-3.70E-01
,,,,,,,,,,,,1.40E+00,2.78E-01,1.98E-01,-1.68E-02
,,,,,,,,,,,,1.43E+00,2.85E-01,2.30E-01,4.21E-01
,,,,,,,,,,,,1.47E+00,2.93E-01,2.20E-01,2.36E-01
,,,,,,,,,,,,1.50E+00,3.00E-01,2.41E-01,-3.53E-01
,,,,,,,,,,,,1.53E+00,3.09E-01,2.12E-01,-7.74E-01
,,,,,,,,,,,,1.57E+00,3.14E-01,1.69E-01,-2.36E-01
,,,,,,,,,,,,1.60E+00,3.20E-01,2.04E-01,
,,,,,,,,,,,,1.63E+00,3.28E-01,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
